Time,VDC,Isp
07-05-2022 22:30,363.616943,10
07-05-2022 22:31,365.859985,10
07-05-2022 22:31,366.348267,10
07-05-2022 22:31,366.68396,10
07-05-2022 22:31,366.943359,10
07-05-2022 22:31,367.1875,10
07-05-2022 22:31,367.340088,10
07-05-2022 22:32,367.523193,10
07-05-2022 22:32,367.69104,10
07-05-2022 22:32,367.782593,10
07-05-2022 22:32,368.011475,10
07-05-2022 22:32,368.133545,10
07-05-2022 22:32,368.286133,10
07-05-2022 22:33,368.377686,10
07-05-2022 22:33,368.515015,10
07-05-2022 22:33,368.652344,10
07-05-2022 22:33,368.69812,10
07-05-2022 22:33,368.865967,10
07-05-2022 22:33,368.988037,10
07-05-2022 22:34,369.094849,10
07-05-2022 22:34,369.20166,10
07-05-2022 22:34,369.262695,10
07-05-2022 22:34,369.400024,10
07-05-2022 22:34,369.476318,10
07-05-2022 22:34,369.537354,10
07-05-2022 22:35,369.659424,10
07-05-2022 22:35,369.796753,10
07-05-2022 22:35,369.888306,10
07-05-2022 22:35,369.949341,10
07-05-2022 22:35,370.056152,10
07-05-2022 22:35,370.178223,10
07-05-2022 22:36,370.20874,10
07-05-2022 22:36,370.391846,10
07-05-2022 22:36,370.437622,10
07-05-2022 22:36,370.529175,10
07-05-2022 22:36,370.620728,10
07-05-2022 22:36,370.742798,10
07-05-2022 22:37,370.819092,10
07-05-2022 22:37,370.895386,10
07-05-2022 22:37,370.910645,10
07-05-2022 22:37,371.109009,10
07-05-2022 22:37,371.124268,10
07-05-2022 22:37,371.200562,10
07-05-2022 22:38,371.307373,10
07-05-2022 22:38,371.383667,10
07-05-2022 22:38,371.505737,10
07-05-2022 22:38,371.566772,10
07-05-2022 22:38,371.673584,10
07-05-2022 22:38,371.71936,10
07-05-2022 22:39,371.795654,10
07-05-2022 22:39,371.887207,10
07-05-2022 22:39,371.932983,10
07-05-2022 22:39,372.024536,10
07-05-2022 22:39,372.116089,10
07-05-2022 22:39,372.177124,10
07-05-2022 22:40,372.253418,10
07-05-2022 22:40,372.329712,10
07-05-2022 22:40,372.406006,10
07-05-2022 22:40,372.497559,10
07-05-2022 22:40,372.573853,10
07-05-2022 22:40,372.665405,10
07-05-2022 22:41,372.711182,10
07-05-2022 22:41,372.802734,10
07-05-2022 22:41,372.86377,10
07-05-2022 22:41,370.97168,10
